course_id,course_item_id,assessment_id
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@8"
"POZJ3uOtEeSoXCIACw4Gzg","mIUnh","DwWleQjhEeWk6iIAC3_PpA@1"
"POZJ3uOtEeSoXCIACw4Gzg","b0Br8","Q1hfs-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@19"
"POZJ3uOtEeSoXCIACw4Gzg","yzEvr","Q0Br2eOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@25"
"POZJ3uOtEeSoXCIACw4Gzg","mIUnh","DwWleQjhEeWk6iIAC3_PpA@3"
"POZJ3uOtEeSoXCIACw4Gzg","hJxJk","Q1OkweOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Q3ydh","QtIY9uOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@20"
"POZJ3uOtEeSoXCIACw4Gzg","ljbCo","PysxSuOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","b0Br8","Q1hfs-OtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","OXneB","QtZeuOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v","P5TI8-OtEeS_7SIACxCfaQ@4"
"POZJ3uOtEeSoXCIACw4Gzg","ZOw05","PzJdPOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","b0Br8","Q1hfs-OtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@23"
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v","P5TI8-OtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","uTTWn","QOhKZeOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","xz5Zr","czAAS_7HEeSoGSIAC9hEHA@3"
"POZJ3uOtEeSoXCIACw4Gzg","N1LnH","Qk6RbeOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","sNQuq","QsBlsOOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@2"
"POZJ3uOtEeSoXCIACw4Gzg","lfrEt","QQ03lOOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","ka1Nf","8-x_H4fPEeSb9SIACzCJlg@6"
"POZJ3uOtEeSoXCIACw4Gzg","js8wk","Qy9U0-OtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","ZOw05","PzJdPOOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@18"
"POZJ3uOtEeSoXCIACw4Gzg","iCjGL","P6mwiuOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","O3H0j","QOLzM-OtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","M7Go1","P7x0QOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","yPxOc","QlNzb-OtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","1AWPc","P7bP7uOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","ka1Nf","8-x_H4fPEeSb9SIACzCJlg@4"
"POZJ3uOtEeSoXCIACw4Gzg","ka1Nf","8-x_H4fPEeSb9SIACzCJlg@7"
"POZJ3uOtEeSoXCIACw4Gzg","RfSxV","PqJsa-niEeSBAyIAC0yDbg@5"
"POZJ3uOtEeSoXCIACw4Gzg","1vJSS","QQHs7eOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","mHZLg","K7qVnQjhEeWCQyIAC5XEog@6"
"POZJ3uOtEeSoXCIACw4Gzg","nBkTi","Qq_q6uOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@11"
"POZJ3uOtEeSoXCIACw4Gzg","wiSdB","QN1N4eOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","ajqnX","QzuJ1-OtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","MvXQX","Qjulp-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@26"
"POZJ3uOtEeSoXCIACw4Gzg","SpeI0","QttAuuOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","UKpv5","Qsh8AuOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v","P5TI8-OtEeS_7SIACxCfaQ@5"
"POZJ3uOtEeSoXCIACw4Gzg","VbM7a","QqtXCOOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","ljbCo","PysxSuOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","iCjGL","P6mwiuOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","wiSdB","QN1N4eOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","gPRr9","QzQPxeOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","7DQYI","PzdmTuOtEeS_7SIACxCfaQ@3"
"POZJ3uOtEeSoXCIACw4Gzg","iFuUg","P7GfzOOtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","js8wk","Qy9U0-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@3"
"POZJ3uOtEeSoXCIACw4Gzg","Qm8kd","7Z6FEA8qEeWjlSIACxCHZA@31"
"POZJ3uOtEeSoXCIACw4Gzg","dUT2M","A0XgSvlIEeS7YiIAC0KBkQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","dUT2M","A0XgSvlIEeS7YiIAC0KBkQ@5"
"POZJ3uOtEeSoXCIACw4Gzg","4Bj3v","P5TI8-OtEeS_7SIACxCfaQ@2"
"POZJ3uOtEeSoXCIACw4Gzg","7DQYI","PzdmTuOtEeS_7SIACxCfaQ@4"
"POZJ3uOtEeSoXCIACw4Gzg","loU2f","auc45AjhEeWTpSIAC4-MSg@2"
"POZJ3uOtEeSoXCIACw4Gzg","mvm51","QPOVCeOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","OXneB","QtZeuOOtEeS_7SIACxCfaQ@1"
"POZJ3uOtEeSoXCIACw4Gzg","loU2f","auc45AjhEeWTpSIAC4-MSg@3"
"POZJ3uOtEeSoXCIACw4Gzg","qJATX","Q1zzl-OtEeS_7SIACxCfaQ@2"
