taiwan_discussions_user_id,course_id,discussion_question_id,discussion_question_vote_value,discussion_question_vote_ts
fdf7b295234c0bbd859a8f830339a4f98e856f70,"POZJ3uOtEeSoXCIACw4Gzg","2uH6IrzqEeWfsw41r6ikDw",1,2016-04-07 13:01:21.262
4cbe59d0a3abee602f70c93a76e971c8c7ec5a21,"POZJ3uOtEeSoXCIACw4Gzg","RmHvvhSEEeWmISIAC9QOog",1,2015-06-21 05:30:19.363
c2587e7c291e94e6c8600fdf1b78f12e34c1b6f2,"POZJ3uOtEeSoXCIACw4Gzg","06LJTDLSEeWV8SIACyyfnQ",1,2016-01-04 11:04:59.485
c2587e7c291e94e6c8600fdf1b78f12e34c1b6f2,"POZJ3uOtEeSoXCIACw4Gzg","LyIsUjzUEeW2ASIACxeTpg",1,2016-01-04 10:47:56.613
3461d20e40dc1c0615abfc18400d046de0f4774e,"POZJ3uOtEeSoXCIACw4Gzg","YpnBOJy3EeWw3Q42UmLfBQ",1,2016-01-17 01:56:51.303
3461d20e40dc1c0615abfc18400d046de0f4774e,"POZJ3uOtEeSoXCIACw4Gzg","YpnBOJy3EeWw3Q42UmLfBQ",0,2016-01-17 02:06:43.877
e9200bfc8fa6d5c064a2e1a6dbb1af5f0719d702,"POZJ3uOtEeSoXCIACw4Gzg","LyIsUjzUEeW2ASIACxeTpg",1,2015-08-21 16:31:34.346
e217b8e942c7917dc9615d74576ac26f2590032c,"POZJ3uOtEeSoXCIACw4Gzg","CBjMwztVEeWm9SIAC5HAew",1,2016-03-21 10:30:22.427
191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","7S-UIzKsEeWV8SIACyyfnQ",1,2015-07-27 07:55:38.365
4d16634dada9096f81644aaec4098487e4b29299,"POZJ3uOtEeSoXCIACw4Gzg","7S-UIzKsEeWV8SIACyyfnQ",1,2015-08-04 12:22:56.598
