peer_comment_id,peer_submission_id,taiwan_peer_assignments_user_id,peer_comment_created_ts,peer_comment_text
"Z4lmaR1dEeWmISIAC9QOog","NgPKxB0tEeWd3iIAC7VAtA",cb8a70d4e1ca4643d8b63a03cf20cd3d6057f532,2015-06-28 06:17:51.089,"還有節線唷~^^,看得出繪製的程序"
"urU_ASE9EeWM2iIAC0KUpw","NgPKxB0tEeWd3iIAC7VAtA",661da7684bebf9e352c6ceda1324ceaedc988d8a,2015-07-03 04:41:11.383,"谢谢惠香的鼓励。我们一起加油吧。"
"eLYfdaFdEeWhLRIkesxXNw","UWdxnZ6JEeWxzwq21MK5xw",57f09e53f5e88187cb5d680d966f2747b67b9bb2,2015-12-13 05:50:53.39,"對不起，我看錯了。你最後一題寫得很清楚。"
"j1xYNx3oEeWHGCIACznL2w","7m3tax2HEeWd3iIAC7VAtA",4d34fab9d0935342b6ecb00c56ac67b84fbee2cb,2015-06-28 22:53:57.948,"Please submit your drawing file."
"3SHXtx2lEeWM2iIAC0KUpw","7m3tax2HEeWd3iIAC7VAtA",b5b08a4f878927603d70a4d8a39a1c6453763a94,2015-06-28 14:56:32.146,"你的dwg文件呢？"
"NCyPil3ZEeWc1Q7arAoKFQ","vGOcU1x9EeWWvApdRud_EQ",bcb73389b164f4a928976ab98e2ddebe7b57ff10,2015-09-18 07:45:16.929,"其实你的图裂了。。。"
"5Cfx1TkuEeWNVyIAC0uErA","T2ad6jUCEeWV8SIACyyfnQ",fb821dd5bbd8f91c4182591bb8ee77f7ea08a899,2015-08-02 15:55:26.377,"求互评，急需，谢谢~"
"mLcKKxieEeWHGCIACznL2w","SF1mBhgNEeWHGCIACznL2w",fd6874d9511eeeff54ae9d6b7426726d0cdc83a8,2015-06-22 05:21:55.07,"还有颜色区分 真不错"
"kEfI4yEoEeWYoCIAC5MBcw","rTiZ9hfCEeWYoCIAC5MBcw",2a3eebe990e56539dcb0940605c9b8366bc59234,2015-07-03 02:09:40.77,"煩請也幫忙review我的作業，謝謝"
"KFD21tV2EeW-EQ6jzRFIow","UNk62HWnEeWgtQq7brjg6Q",fd5896c6b892c2f231f4277ee3b4cc47f1fd456f,2016-02-17 12:58:36.392,"同学，求互评。。谢谢~!"
"_jQ520DXEeWF8w6XN0ZAWw","NOz1JUAaEeWv5woN2NNtkQ",96d5991aa421249bebd72b3c007c28b90e905f37,2015-08-12 09:53:33.165,"煩請幫我評分喔! 謝謝"
"4DHRne8OEeWqSQ7kx0rpLQ","sJ8E71elEeWZ5g4_W5BoCw",8d57074f8a698935a97dc938a40ad4bded63cac9,2016-03-21 02:44:47.461,"觉得这份图没有按照减法原则绘制，但是作者素描能力还是很不错。"
"2cCWxyn9EeWYVCIACyevdw","0YiGgSSkEeWd3iIAC7VAtA",7c633ccd7e082e495812fd171025ea382a692430,2015-07-14 07:56:36.141,"我没有看到图"
"qfCmqSqhEeWOKyIACimMGQ","0YiGgSSkEeWd3iIAC7VAtA",661da7684bebf9e352c6ceda1324ceaedc988d8a,2015-07-15 03:29:13.389,"我也没有看到图"
