taiwan_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
4f8129f39dcb2b0228aac9bb5b99a9628b445734,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
372b4e1cf5308aa9236c6d3edc94ee712cfbbce6,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
18f880ff9842fca9560642b4e159c61b5008918c,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
225c82a172b58c1b2765f62c6cbb73161fbb0f2e,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
3a615809760de9877411014249dbbace48c28420,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
bc9aaa8817f6577810ccbb03e12c2056fdfc066b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
addcde170478af157279c41d98e513a47469bca3,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
740d4808d2dcfd094af5670cb9d12dbafc30df43,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d2e5e531f2441aa0bd6db024f395d101db5d1f31,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
7efa86a59ec26ec845b6b25018689c29dd6a2c30,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
05b202bba9e52f3174a21df753d4ba06fa7ef7b4,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
fd1f28ce48d900c8d3e5136ee8afece322548bf2,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
83a83ed70e5d96870f5b273c7c5401d0145dc001,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
a0053b965f68473f081d356155b0ffeed79c824e,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
c750e064b14eb5def72794b856b38b02cdda5374,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
e6241c1a9ed5462d6eacf871138646a31e95176a,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
9c9adbecede761b0ffed6bf132bbdfd3a6441a44,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
e07df7dea15e1e4f006b604fdcd2da82a2391c0a,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
0c815215db6503df0b2f8f6feffbaca1013abb69,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
26cd91a4d8d073458a0fde6d800b7cfecd93f63c,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
daa9e9183bde774635100104cfdb1458fa408e34,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
c285efdec93420513dd0dd039257707c9efeb157,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
25cffd254f9926a955c985da7395f0f18d5d5355,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
6e3976bedf210133840dee137970a1de110e2a04,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
d23e1e4ce1ae278482618a15ee899b0c22fcc252,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
a4574ebb28f420749655e3b464febfd84ff4a3fe,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
453f549bcfd763b5dfb0594cde328833cf75d788,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
7fe5f1a30f43fc349b33b106bd71ee3eaee347ed,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
a1171fa7b6aaab48cc39ff4e2e1274904019016e,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
d7135b7bd7651d564bd982d1c53c7d76847244f8,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
3c74d6fa16c748d4748e7905ad1b7ab0bc8d0d3b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
51f68d86fa0b832615b63e7cc8406ff210e53d64,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
b38d93bc711475339b59226aa3d6ef1e39fcd902,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
ecc2d254dc0a194786583dcecad507c632fe6449,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
5322437a3cd51ed44df3412d0d6bf32d948af67a,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
08b0823082e9792ef14a72ec1bc7d04412f8b49b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
c32b25b76b8d8bb9a011dcf2898d0e7138da4f10,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
1cc99b9dc7537333d687faf50b647214d0a7130a,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
18cbd085f620542eaf4cd8d134ff3674753a3773,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
af0ed1132698a25ee683501a318e3523e8589a4f,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
55159c270e8b021fba5cfcac43107433d2e5520b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
486a0c969c5fad7abd7ece9a62f636b3b301887b,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
ef73d51020a8f5a3771443074bbb3df59171fe54,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
4669f3583311f8f6fd236bd26b81e205b6c3d4cc,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
75deff8a8ab6ba3394ea54c57edbb0d67bb66075,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
523e5249a4a986e2953f2f795fa74676936a949d,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
33d2334ffa203094e9cd6e64c91a5620a013de58,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
b391a043d2e5959078b3814f336d75275b571fb0,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
25672cae0f9d77be542e475a6bd42c3fcd328dc3,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
82906914b77a1de1cd70e3090a64454c288fbdfa,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
1f5822f7f72c18c57ba32b3f3642508693837a29,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
0f38a009ae412836e2041c827ac664e043becf45,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
1de188588932913b10b6037184f74f04e1ab60b6,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
481dbd957a7ce61ea07c5be3242a2ea19f332130,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
ca51974fc967441434b25a16c1cadba851f43695,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
8be9516854b3cafa4089a252c29778c7c82e2888,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
8fd58f7ff7274e5693b2eeacb0e3c3afe7da8f5f,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
4a81b4e300412dd7d604c57c4500a82aff6fea5b,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
07817d0557dbe07af85d3e83c7c2fcf054d36a94,"POZJ3uOtEeSoXCIACw4Gzg",t,t,f,f
0ab33d640bee2c050131650cd75969ddf9c6038a,"POZJ3uOtEeSoXCIACw4Gzg",t,f,t,f
