taiwan_discussions_user_id,course_id,discussion_answer_id,discussion_answer_vote_value,discussion_answer_vote_ts
4cbe59d0a3abee602f70c93a76e971c8c7ec5a21,"POZJ3uOtEeSoXCIACw4Gzg","cbLOaRf4EeWmISIAC9QOog",1,2015-06-21 09:35:33.417
f930c60eeda32fd9768f92f4b9fde03393b6700c,"POZJ3uOtEeSoXCIACw4Gzg","Rq-P5VntEeWKaRJGciUWiw",1,2015-09-23 05:46:33.966
191552683106db31543b7c0b349f91274832720c,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",1,2015-06-24 05:12:36.332
d3560062c8caf9e361c94cec70ad6f9fff76fff7,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",1,2015-07-07 09:27:12.923
c4f78f0ea44d65b4b00eb1a789b78278d0b96724,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",1,2015-07-02 10:19:49.356
46d9b0a033a84a0c59d319a5190e38b686c6ee40,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",1,2015-07-09 01:01:42.661
f00c5603415f12482f1f34cbe95b5e29206e9b9e,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",1,2015-07-01 08:25:20.983
e8bcae67a3879a1f6936587ce73b2bd6f00f0d85,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",0,2016-02-05 11:34:58.703
e8bcae67a3879a1f6936587ce73b2bd6f00f0d85,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",1,2016-02-05 11:34:55.625
e8bcae67a3879a1f6936587ce73b2bd6f00f0d85,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",0,2016-02-05 11:34:58.581
c9047b81ae318ae1d8793877d20a2021c65fae7e,"POZJ3uOtEeSoXCIACw4Gzg","gNwbaxdxEeWmISIAC9QOog",1,2015-06-21 12:05:19.659
1283f0eb5502a82c44cf367f45063b58165dbc7a,"POZJ3uOtEeSoXCIACw4Gzg","4LLwNxTZEeWYoCIAC5MBcw",1,2015-06-17 11:07:03.60
36acc124e8830f93f3870a018013ae2645e3703a,"POZJ3uOtEeSoXCIACw4Gzg","4LLwNxTZEeWYoCIAC5MBcw",1,2015-06-17 17:31:38.921
46d9b0a033a84a0c59d319a5190e38b686c6ee40,"POZJ3uOtEeSoXCIACw4Gzg","XwZgFCV2EeWeUyIAC44Ejw",1,2015-07-09 01:02:00.995
d235fb54ad258037707b6efbade1e76e954d84a5,"POZJ3uOtEeSoXCIACw4Gzg","tj2L_hgTEeWM2iIAC0KUpw",1,2015-06-21 13:04:35.752
7aa45f2b961e67822d491f69896d9e8b8234df3c,"POZJ3uOtEeSoXCIACw4Gzg","ClFu24WyEeWL6AoNmIctaQ",1,2015-11-08 01:12:43.915
2b62b0a07d54651220224022b4e3ab92f13e63b6,"POZJ3uOtEeSoXCIACw4Gzg","h1TBI5tsEeWRPwoRH5i2BQ",1,2015-12-05 16:26:50.562
71cad659ad6a0f27c7aa2f7d14be2247313797ea,"POZJ3uOtEeSoXCIACw4Gzg","ok2Wwx8bEeWHGCIACznL2w",0,2015-07-29 16:11:55.68
71cad659ad6a0f27c7aa2f7d14be2247313797ea,"POZJ3uOtEeSoXCIACw4Gzg","ok2Wwx8bEeWHGCIACznL2w",1,2015-06-30 11:44:26.593
71cad659ad6a0f27c7aa2f7d14be2247313797ea,"POZJ3uOtEeSoXCIACw4Gzg","ok2Wwx8bEeWHGCIACznL2w",1,2015-07-29 16:11:57.172
5a51df8ed2cd7caf59fa0fcd72cd1e213c044167,"POZJ3uOtEeSoXCIACw4Gzg","ok2Wwx8bEeWHGCIACznL2w",1,2015-07-08 15:26:59.731
6984ab2209f80a79ab89678418d2bb1928178616,"POZJ3uOtEeSoXCIACw4Gzg","6P6dixx1EeWd3iIAC7VAtA",1,2015-08-01 09:46:05.426
5b1dffbd4b4321a8ed6b49de48d91e1064c48c31,"POZJ3uOtEeSoXCIACw4Gzg","6P6dixx1EeWd3iIAC7VAtA",0,2015-10-23 13:24:56.899
